configuration,configuration_label,model,true_pass,false_risk_warning,missed_failure,correctly_identified_failure
A,With first- and second-period grades,Naive baseline,241,24,8,122
A,With first- and second-period grades,Logistic Regression,239,26,12,118
A,With first- and second-period grades,Decision Tree,231,34,10,120
A,With first- and second-period grades,Random Forest,240,25,9,121
B,With first-period grade only,Naive baseline,227,38,26,104
B,With first-period grade only,Logistic Regression,220,45,19,111
B,With first-period grade only,Decision Tree,194,71,11,119
B,With first-period grade only,Random Forest,222,43,28,102
C,Without first- or second-period grades,Naive baseline,265,0,130,0
C,Without first- or second-period grades,Logistic Regression,189,76,60,70
C,Without first- or second-period grades,Decision Tree,167,98,53,77
C,Without first- or second-period grades,Random Forest,210,55,70,60
