configuration,configuration_label,encoded_feature,coefficient,absolute_coefficient,direction
A,With first- and second-period grades,numeric__G2,-4.426629208344783,4.426629208344783,lower predicted risk
A,With first- and second-period grades,numeric__G1,-1.915752827289651,1.915752827289651,lower predicted risk
A,With first- and second-period grades,categorical__Fjob_other,-1.0469040580334659,1.0469040580334659,lower predicted risk
A,With first- and second-period grades,numeric__age,0.7479132926245633,0.7479132926245633,higher predicted risk
A,With first- and second-period grades,numeric__famrel,-0.7139814065295366,0.7139814065295366,lower predicted risk
A,With first- and second-period grades,numeric__Walc,-0.682056596791281,0.682056596791281,lower predicted risk
A,With first- and second-period grades,categorical__school_MS,-0.5368272624959218,0.5368272624959218,lower predicted risk
A,With first- and second-period grades,categorical__romantic_no,-0.5172772924156537,0.5172772924156537,lower predicted risk
A,With first- and second-period grades,categorical__Fjob_teacher,-0.5069969004016578,0.5069969004016578,lower predicted risk
A,With first- and second-period grades,categorical__Mjob_services,-0.5000703048376044,0.5000703048376044,lower predicted risk
A,With first- and second-period grades,categorical__Fjob_health,0.49434893265788044,0.49434893265788044,higher predicted risk
A,With first- and second-period grades,categorical__famsize_GT3,-0.4598067790903055,0.4598067790903055,lower predicted risk
A,With first- and second-period grades,numeric__goout,0.44856350127061706,0.44856350127061706,higher predicted risk
A,With first- and second-period grades,categorical__Pstatus_A,-0.44321104523477783,0.44321104523477783,lower predicted risk
A,With first- and second-period grades,categorical__Fjob_at_home,0.43552183125649896,0.43552183125649896,higher predicted risk
A,With first- and second-period grades,categorical__sex_F,-0.4094434603708042,0.4094434603708042,lower predicted risk
A,With first- and second-period grades,categorical__internet_yes,-0.4033223703099393,0.4033223703099393,lower predicted risk
A,With first- and second-period grades,categorical__reason_other,-0.39529383895136316,0.39529383895136316,lower predicted risk
A,With first- and second-period grades,categorical__reason_course,0.3927832570211461,0.3927832570211461,higher predicted risk
A,With first- and second-period grades,categorical__activities_no,-0.3810785354125817,0.3810785354125817,lower predicted risk
A,With first- and second-period grades,categorical__Mjob_at_home,-0.3662520310471303,0.3662520310471303,lower predicted risk
A,With first- and second-period grades,categorical__Fjob_services,0.35642859333016214,0.35642859333016214,higher predicted risk
A,With first- and second-period grades,categorical__nursery_no,-0.35470833894051634,0.35470833894051634,lower predicted risk
A,With first- and second-period grades,categorical__reason_home,-0.35086772782889564,0.35086772782889564,lower predicted risk
A,With first- and second-period grades,numeric__studytime,0.34898226874436844,0.34898226874436844,higher predicted risk
