configuration,configuration_label,model,outer_fold,inner_best_balanced_accuracy,best_parameters
A,With first- and second-period grades,Logistic Regression,1,0.9140273010612696,"{""model__C"": 1.0}"
A,With first- and second-period grades,Decision Tree,1,0.9026038584447864,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 3}"
A,With first- and second-period grades,Random Forest,1,0.9142344261648322,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}"
A,With first- and second-period grades,Logistic Regression,2,0.8910403598058941,"{""model__C"": 0.1}"
A,With first- and second-period grades,Decision Tree,2,0.8714660512092162,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 5}"
A,With first- and second-period grades,Random Forest,2,0.9049118238844834,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 100}"
A,With first- and second-period grades,Logistic Regression,3,0.8830690022487868,"{""model__C"": 10.0}"
A,With first- and second-period grades,Decision Tree,3,0.9170572454333845,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 5}"
A,With first- and second-period grades,Random Forest,3,0.9287272655541089,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}"
A,With first- and second-period grades,Logistic Regression,4,0.9142679607054088,"{""model__C"": 10.0}"
A,With first- and second-period grades,Decision Tree,4,0.8996015307531463,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 3}"
A,With first- and second-period grades,Random Forest,4,0.9136742020751963,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}"
A,With first- and second-period grades,Logistic Regression,5,0.8956622085453899,"{""model__C"": 1.0}"
A,With first- and second-period grades,Decision Tree,5,0.9074604489683198,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 3}"
A,With first- and second-period grades,Random Forest,5,0.9097743322681184,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}"
B,With first-period grade only,Logistic Regression,1,0.8663293486408646,"{""model__C"": 1.0}"
B,With first-period grade only,Decision Tree,1,0.853308083796899,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 5}"
B,With first-period grade only,Random Forest,1,0.8398193080048921,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 100}"
B,With first-period grade only,Logistic Regression,2,0.8265356846964137,"{""model__C"": 0.1}"
B,With first-period grade only,Decision Tree,2,0.8321142541523653,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 3}"
B,With first-period grade only,Random Forest,2,0.7976170749990136,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 100}"
B,With first-period grade only,Logistic Regression,3,0.8313311239988952,"{""model__C"": 0.1}"
B,With first-period grade only,Decision Tree,3,0.8368820767743718,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 5}"
B,With first-period grade only,Random Forest,3,0.7978912691837299,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 100}"
B,With first-period grade only,Logistic Regression,4,0.8139365605397089,"{""model__C"": 1.0}"
B,With first-period grade only,Decision Tree,4,0.8263956286740047,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 5}"
B,With first-period grade only,Random Forest,4,0.8087939401112557,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 100}"
B,With first-period grade only,Logistic Regression,5,0.8123446561723281,"{""model__C"": 1.0}"
B,With first-period grade only,Decision Tree,5,0.8130331005641693,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 3}"
B,With first-period grade only,Random Forest,5,0.7905412869373102,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}"
C,Without first- or second-period grades,Logistic Regression,1,0.6827533830433582,"{""model__C"": 0.1}"
C,Without first- or second-period grades,Decision Tree,1,0.6375764390263148,"{""model__max_depth"": null, ""model__min_samples_leaf"": 3}"
C,Without first- or second-period grades,Random Forest,1,0.6126760563380281,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 100}"
C,Without first- or second-period grades,Logistic Regression,2,0.6190712904880261,"{""model__C"": 1.0}"
C,Without first- or second-period grades,Decision Tree,2,0.5673728646388132,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 5}"
C,Without first- or second-period grades,Random Forest,2,0.5777389829171105,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}"
C,Without first- or second-period grades,Logistic Regression,3,0.6204896042924212,"{""model__C"": 0.1}"
C,Without first- or second-period grades,Decision Tree,3,0.6034816743598849,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 5}"
C,Without first- or second-period grades,Random Forest,3,0.6000650964611196,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}"
C,Without first- or second-period grades,Logistic Regression,4,0.6278001341381624,"{""model__C"": 0.1}"
