configuration,configuration_label,model,metric,mean,standard_deviation,evaluations
A,With first- and second-period grades,Naive baseline,accuracy,0.9189873417721519,0.0,1
A,With first- and second-period grades,Naive baseline,balanced_accuracy,0.9239477503628447,0.0,1
A,With first- and second-period grades,Naive baseline,precision_risk,0.8356164383561644,0.0,1
A,With first- and second-period grades,Naive baseline,recall_risk,0.9384615384615385,0.0,1
A,With first- and second-period grades,Naive baseline,f1_risk,0.8840579710144928,0.0,1
A,With first- and second-period grades,Logistic Regression,accuracy,0.9134177215189873,0.031788705825885846,25
A,With first- and second-period grades,Logistic Regression,balanced_accuracy,0.9166618287373005,0.03239794137350572,25
A,With first- and second-period grades,Logistic Regression,precision_risk,0.8343093417294195,0.062240643680899474,25
A,With first- and second-period grades,Logistic Regression,recall_risk,0.9261538461538461,0.05078282646240606,25
A,With first- and second-period grades,Logistic Regression,f1_risk,0.8762646554386154,0.04403906789045707,25
A,With first- and second-period grades,Decision Tree,accuracy,0.8855696202531645,0.036628750066178405,25
A,With first- and second-period grades,Decision Tree,balanced_accuracy,0.88611030478955,0.044402457344426514,25
A,With first- and second-period grades,Decision Tree,precision_risk,0.7938606646953724,0.06048903036153135,25
A,With first- and second-period grades,Decision Tree,recall_risk,0.8876923076923078,0.08449875411940554,25
A,With first- and second-period grades,Decision Tree,f1_risk,0.8356019464943067,0.055523686842948505,25
A,With first- and second-period grades,Random Forest,accuracy,0.9154430379746834,0.029847661069750887,25
A,With first- and second-period grades,Random Forest,balanced_accuracy,0.9181712626995646,0.032170147725882135,25
A,With first- and second-period grades,Random Forest,precision_risk,0.8377996322003126,0.05582283669110658,25
A,With first- and second-period grades,Random Forest,recall_risk,0.9261538461538461,0.05198239726336742,25
A,With first- and second-period grades,Random Forest,f1_risk,0.8785034066047297,0.04247672043350755,25
B,With first-period grade only,Naive baseline,accuracy,0.8379746835443038,0.0,1
B,With first-period grade only,Naive baseline,balanced_accuracy,0.8283018867924529,0.0,1
B,With first-period grade only,Naive baseline,precision_risk,0.7323943661971831,0.0,1
B,With first-period grade only,Naive baseline,recall_risk,0.8,0.0,1
B,With first-period grade only,Naive baseline,f1_risk,0.7647058823529411,0.0,1
B,With first-period grade only,Logistic Regression,accuracy,0.829367088607595,0.030379746835443033,25
B,With first-period grade only,Logistic Regression,balanced_accuracy,0.8305079825834544,0.03438441303273852,25
B,With first-period grade only,Logistic Regression,precision_risk,0.704502272553506,0.04384799485825743,25
B,With first-period grade only,Logistic Regression,recall_risk,0.8338461538461539,0.058456477513733306,25
B,With first-period grade only,Logistic Regression,f1_risk,0.7627092727665725,0.04212682413849917,25
B,With first-period grade only,Decision Tree,accuracy,0.7827848101265823,0.041772151898734185,25
B,With first-period grade only,Decision Tree,balanced_accuracy,0.7852104499274312,0.05076946882716097,25
B,With first-period grade only,Decision Tree,precision_risk,0.6425445982048251,0.06416968612377129,25
B,With first-period grade only,Decision Tree,recall_risk,0.7923076923076923,0.11906522833978661,25
B,With first-period grade only,Decision Tree,f1_risk,0.7040246523135888,0.06091622794431517,25
B,With first-period grade only,Random Forest,accuracy,0.8207594936708861,0.03738644256544905,25
B,With first-period grade only,Random Forest,balanced_accuracy,0.8131204644412193,0.04106341461062055,25
B,With first-period grade only,Random Forest,precision_risk,0.7066788834957879,0.06265555687238844,25
B,With first-period grade only,Random Forest,recall_risk,0.7907692307692308,0.07618233085510553,25
B,With first-period grade only,Random Forest,f1_risk,0.7436379011104627,0.05312645866731314,25
C,Without first- or second-period grades,Naive baseline,accuracy,0.6708860759493671,0.0,1
C,Without first- or second-period grades,Naive baseline,balanced_accuracy,0.5,0.0,1
C,Without first- or second-period grades,Naive baseline,precision_risk,0.0,0.0,1
C,Without first- or second-period grades,Naive baseline,recall_risk,0.0,0.0,1
C,Without first- or second-period grades,Naive baseline,f1_risk,0.0,0.0,1
C,Without first- or second-period grades,Logistic Regression,accuracy,0.6511392405063292,0.04535815915738966,25
C,Without first- or second-period grades,Logistic Regression,balanced_accuracy,0.6298838896952104,0.04717230930083256,25
C,Without first- or second-period grades,Logistic Regression,precision_risk,0.47803800718042533,0.05594025000162856,25
C,Without first- or second-period grades,Logistic Regression,recall_risk,0.5676923076923077,0.09174508032212739,25
C,Without first- or second-period grades,Logistic Regression,f1_risk,0.5157645250581949,0.05916435030303837,25
C,Without first- or second-period grades,Decision Tree,accuracy,0.5848101265822784,0.062441555219193,25
C,Without first- or second-period grades,Decision Tree,balanced_accuracy,0.5683018867924529,0.05456383708088165,25
C,Without first- or second-period grades,Decision Tree,precision_risk,0.4069153417809386,0.06646076845541701,25
C,Without first- or second-period grades,Decision Tree,recall_risk,0.52,0.11109549528661503,25
C,Without first- or second-period grades,Decision Tree,f1_risk,0.4500935820034225,0.06163637538870364,25
C,Without first- or second-period grades,Random Forest,accuracy,0.6855696202531647,0.032617971460063615,25
C,Without first- or second-period grades,Random Forest,balanced_accuracy,0.616357039187228,0.04146611739089161,25
C,Without first- or second-period grades,Random Forest,precision_risk,0.5282311196931873,0.0632119751050129,25
C,Without first- or second-period grades,Random Forest,recall_risk,0.41384615384615386,0.08548504142651103,25
C,Without first- or second-period grades,Random Forest,f1_risk,0.460842576335083,0.07283207495410741,25
