configuration,configuration_label,model,mean_accuracy,mean_balanced_accuracy,mean_f1_risk,mean_precision_risk,mean_recall_risk,standard_deviation_accuracy,standard_deviation_balanced_accuracy,standard_deviation_f1_risk,standard_deviation_precision_risk,standard_deviation_recall_risk
A,With first- and second-period grades,Decision Tree,0.8855696202531645,0.88611030478955,0.8356019464943067,0.7938606646953724,0.8876923076923078,0.036628750066178405,0.044402457344426514,0.055523686842948505,0.06048903036153135,0.08449875411940554
A,With first- and second-period grades,Logistic Regression,0.9134177215189873,0.9166618287373005,0.8762646554386154,0.8343093417294195,0.9261538461538461,0.031788705825885846,0.03239794137350572,0.04403906789045707,0.062240643680899474,0.05078282646240606
A,With first- and second-period grades,Naive baseline,0.9189873417721519,0.9239477503628447,0.8840579710144928,0.8356164383561644,0.9384615384615385,0.0,0.0,0.0,0.0,0.0
A,With first- and second-period grades,Random Forest,0.9154430379746834,0.9181712626995646,0.8785034066047297,0.8377996322003126,0.9261538461538461,0.029847661069750887,0.032170147725882135,0.04247672043350755,0.05582283669110658,0.05198239726336742
B,With first-period grade only,Decision Tree,0.7827848101265823,0.7852104499274312,0.7040246523135888,0.6425445982048251,0.7923076923076923,0.041772151898734185,0.05076946882716097,0.06091622794431517,0.06416968612377129,0.11906522833978661
B,With first-period grade only,Logistic Regression,0.829367088607595,0.8305079825834544,0.7627092727665725,0.704502272553506,0.8338461538461539,0.030379746835443033,0.03438441303273852,0.04212682413849917,0.04384799485825743,0.058456477513733306
B,With first-period grade only,Naive baseline,0.8379746835443038,0.8283018867924529,0.7647058823529411,0.7323943661971831,0.8,0.0,0.0,0.0,0.0,0.0
B,With first-period grade only,Random Forest,0.8207594936708861,0.8131204644412193,0.7436379011104627,0.7066788834957879,0.7907692307692308,0.03738644256544905,0.04106341461062055,0.05312645866731314,0.06265555687238844,0.07618233085510553
C,Without first- or second-period grades,Decision Tree,0.5848101265822784,0.5683018867924529,0.4500935820034225,0.4069153417809386,0.52,0.062441555219193,0.05456383708088165,0.06163637538870364,0.06646076845541701,0.11109549528661503
C,Without first- or second-period grades,Logistic Regression,0.6511392405063292,0.6298838896952104,0.5157645250581949,0.47803800718042533,0.5676923076923077,0.04535815915738966,0.04717230930083256,0.05916435030303837,0.05594025000162856,0.09174508032212739
C,Without first- or second-period grades,Naive baseline,0.6708860759493671,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,Without first- or second-period grades,Random Forest,0.6855696202531647,0.616357039187228,0.460842576335083,0.5282311196931873,0.41384615384615386,0.032617971460063615,0.04146611739089161,0.07283207495410741,0.0632119751050129,0.08548504142651103
